Division,Category,Gene Symbol,Gene Name,Synonyms,HGNC_IDs,HGNC_IDs Links,UniProt_IDs,Refseq_IDs,Orthology,Notes
Core matrisome,Proteoglycans,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",FLJ97039|testican-2,13564,13564,F5H283:Q92563,NP_001127906.1:NP_001231879.1:NP_055582.1:XP_005270359.1,Mouse:Spock2|,
Core matrisome,Proteoglycans,SPOCK3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3",HSAJ1454|TES-3,13565,13565,B4DG04:E7EMP8:E7ENM6:E7ENT7:E7ENY3:E7EQ24:E7ESN1:E7EVH4:H0YA19:Q4W5S3:Q9BQ16,NP_001035249.1:NP_001191281.1:NP_001191282.1:NP_001191283.1:NP_001191284.1:NP_001191285.1:NP_001191287.1:NP_001238896.1:NP_058646.2,Mouse:Spock3|,
Core matrisome,Proteoglycans,SRGN,serglycin,FLJ12930|MGC9289|PPG|PRG|PRG1,9361,9361,P10124,NP_002718.2,Mouse:Srgn|,
Core matrisome,Proteoglycans,VCAN,versican,CSPG2|DKFZp686K06110|ERVR|GHAP|PG-M|WGN|WGN1,2464,2464,D6RGZ6:E9PF17:P13611:Q86W61,NP_001119808.1:NP_001119808.1:NP_001157569.1:NP_001157570.1:NP_004376.2,Mouse:Vcan|,
Matrisome-associated,ECM-affiliated Proteins,ANXA1,annexin A1,ANX1|LPC1,533,533,P04083:Q5T3N0:Q5T3N1,NP_000691.1,Mouse:Anxa1|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA10,annexin A10,ANX14,534,534,Q9UJ72,NP_009124.2,Mouse:Anxa10|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA11,annexin A11,ANX11|CAP50,535,535,H0Y6E1:P50995:Q5T0G7:Q5T0G9,NP_001148.1:NP_001265336.1:NP_001265337.1:NP_001265338.1:NP_665875.1:NP_665876.1,Mouse:Anxa11|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA13,annexin A13,ANX13|ISA|MGC150460,536,536,E5RIN3:P27216,NP_001003954.1:NP_004297.2,Mouse:Anxa13|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA2,annexin A2,ANX2|ANX2L4|CAL1H|LIP2|LPC2|LPC2D|P36|PAP-IV,537,537,H0YKL9:H0YKN4:H0YKS4:H0YKV8:H0YKX9:H0YKZ7:H0YL33:H0YLE2:H0YLV6:H0YM50:H0YMD0:H0YMD9:H0YMM1:H0YMT9:H0YMU9:H0YMW4:H0YN28:H0YN42:H0YN52:H0YNA0:H0YNB8:H0YNP5:P07355,NP_001002857.1:NP_001002858.1:NP_001129487.1:NP_004030.1,Mouse:Anxa2|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA3,annexin A3,ANX3,541,541,D6RA82:D6RAZ8:D6RCA8:D6RFG5:D6RFJ9:P12429,NP_005130.1:XP_005263030.1,Mouse:Anxa3|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA4,annexin A4,ANX4|DKFZp686H02120|MGC75105|PIG28|ZAP36,542,542,B4DDF9:P09525:Q6P452,NP_001144.1,Mouse:Anxa4|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA5,annexin A5,ANX5|ENX2|PP4,543,543,D6RBE9:D6RBL5:D6RCN3:E9PHT9:P08758,NP_001145.1,Mouse:Anxa5|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA6,annexin A6,ANX6|CBP68,544,544,A6NN80:E5RFF0:E5RI05:E5RIU8:E5RJF5:E5RJR0:E5RK63:E5RK69:E7EMC6:H0YC77:P08133,NP_001146.2:NP_001180473.1:XP_005268489.1,Mouse:Anxa6|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA7,annexin A7,ANX7|SNX|SYNEXIN,545,545,B4DT77:B9ZVT2:P20073,NP_001147.1:NP_004025.1,Mouse:Anxa7|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA8,annexin A8,ANX8|FLJ53095,546,546,B4DTC9:P13928:Q5VTM3,NP_001035173.1:NP_001092315.2:NP_001258631.1:NP_001258632.1,Mouse:Anxa8|,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA8L1,annexin A8-like 1,bA301J7.3,23334,23334,F5H7X5:Q5T2P7:Q5T2P8,NP_001258632.1,,Annexin
Matrisome-associated,ECM-affiliated Proteins,ANXA9,annexin A9,ANX31,547,547,O76027,NP_003559.2,Mouse:Anxa9|,Annexin
Matrisome-associated,ECM-affiliated Proteins,C1QA,"complement component 1, q subcomponent, A chain",-,1241,1241,P02745:X6RLJ0,NP_057075.1,Mouse:C1qa|,
Matrisome-associated,ECM-affiliated Proteins,C1QB,"complement component 1, q subcomponent, B chain",-,1242,1242,D6R934:D6RGJ1:P02746,NP_000482.3:XP_005246039.1,Mouse:C1qb|,
Matrisome-associated,ECM-affiliated Proteins,C1QC,"complement component 1, q subcomponent, C chain",C1Q-C|C1QG|FLJ27103,1245,1245,P02747,NP_001107573.1:NP_758957.2,Mouse:C1qc|,
Matrisome-associated,ECM-affiliated Proteins,C1QL1,"complement component 1, q subcomponent-like 1",C1QRF|CRF,24182,24182,O75973,NP_006679.1,Mouse:C1ql1|,
Matrisome-associated,ECM-affiliated Proteins,C1QL2,"complement component 1, q subcomponent-like 2",C1QTNF10|CTRP10,24181,24181,Q7Z5L3,NP_872334.2,Mouse:C1ql2|,
Matrisome-associated,ECM-affiliated Proteins,C1QL3,"complement component 1, q subcomponent-like 3",C1QTNF13|C1ql|K100,19359,19359,Q5VWW1,NP_001010908.1,Mouse:C1ql3|,
Matrisome-associated,ECM-affiliated Proteins,C1QL4,"complement component 1, q subcomponent-like 4",C1QTNF11|MGC131708,31416,31416,Q86Z23,NP_001008224.1,Mouse:C1ql4|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF1,C1q and tumor necrosis factor related protein 1,CTRP1|FLJ90694|GIP|ZSIG37,14324,14324,Q6ZMH6:Q9BXJ1,NP_112230.1:NP_699203.1:NP_940995.1:NP_940996.1:XP_006721730.1:XP_006721729.1,Mouse:C1qtnf1|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF2,C1q and tumor necrosis factor related protein 2,CTRP2|zacrp2,14325,14325,Q9BXJ5,NP_114114.2,Mouse:C1qtnf2|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF3,C1q and tumor necrosis factor related protein 3,C1ATNF3|CORS26|CTRP3|Corcs|Cors|Cors-26|FLJ37576,14326,14326,Q9BXJ4,NP_112207.1:NP_852100.3,Mouse:C1qtnf3|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF4,C1q and tumor necrosis factor related protein 4,CTRP4|ZACRP4,14346,14346,E9PPZ5:Q9BXJ3,NP_114115.2,Mouse:C1qtnf4|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF5,C1q and tumor necrosis factor related protein 5,CTRP5|DKFZp586B0621|FLJ30570|LORD,14344,14344,Q9BXJ0,NP_001265360.1:NP_056460.1,Mouse:C1qtnf5|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF6,C1q and tumor necrosis factor related protein 6,CTRP6|ZACRP6,14343,14343,F8WC87:Q9BXI9,NP_114116.3:NP_872292.1:XP_005261382.1:XP_006724188.1,Mouse:C1qtnf6|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF7,C1q and tumor necrosis factor related protein 7,CTRP7|ZACRP7,14342,14342,J3KPK0:Q9BXJ2,NP_001128642.1:NP_001128643.1:NP_114117.1,Mouse:C1qtnf7|,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF8,C1q and tumor necrosis factor related protein 8,CTRP8|UNQ5829,31374,31374,P60827,NP_997302.2,,
Matrisome-associated,ECM-affiliated Proteins,C1QTNF9,C1q and tumor necrosis factor related protein 9,C1QTNF9A|CTRP9|MGC48915,28732,28732,P0C862,NP_848635.2,Mouse:C1qtnf9|,
Matrisome-associated,ECM-affiliated Proteins,CD209,CD209 molecule,CDSIGN|CLEC4L|DC-SIGN|DC-SIGN1|MGC129965,1641,1641,M0QZG5:M0R0P0:Q9NNX6:X6RB12,NP_001138365.1:NP_001138365.1:NP_001138366.1:NP_001138367.1:NP_001138368.1:NP_001138369.1:NP_066978.1:NP_001138371.1,Mouse:Cd209a|,
Matrisome-associated,ECM-affiliated Proteins,CLC,Charcot-Leyden crystal protein,LGALS10|LGALS10A|LPPL_HUMAN|MGC149659,2014,2014,Q05315,NP_001819.2,Mouse:Clc|,
Matrisome-associated,ECM-affiliated Proteins,CLEC10A,"C-type lectin domain family 10, member A",CD301|CLECSF13|CLECSF14|HML|HML2,16916,16916,I3NI09:J3KR22:Q8IUN9,NP_006335.2:NP_878910.1:XP_005256469.1,Mouse:Clec10a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC11A,"C-type lectin domain family 11, member A",CLECSF3|LSLCL|P47|SCGF,10576,10576,M0R081:Q9Y240,NP_002966.1,Mouse:Clec11a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC12A,"C-type lectin domain family 12, member A",CLL-1|CLL1|DCAL-2|MGC70602|MICL,31713,31713,A8MVL9:Q5QGZ9,NP_001193939.1:NP_612210.4:NP_963917.2:XP_005253381.1:XP_006719097.1:XP_006719100.1,Mouse:Clec12a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC12B,"C-type lectin domain family 12, member B",UNQ5782,31966,31966,F5H4H7:Q2HXU8,NP_001123470.1:NP_995324.2:XP_006719134.1:XP_006719135.1,Mouse:Clec12b|,
Matrisome-associated,ECM-affiliated Proteins,CLEC14A,"C-type lectin domain family 14, member A",C14orf27|CEG1,19832,19832,Q86T13,NP_778230.1,Mouse:Clec14a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC17A,"C-type lectin domain family 17, member A",FLJ45910,34520,34520,F8W1T8:H9KVA4:Q6ZS10,NP_001191047.1:NP_997273.3,,
Matrisome-associated,ECM-affiliated Proteins,CLEC18A,"C-type lectin domain family 18, member A",CLEC18C|FLJ77955|MGC164804|MRCL|MRCL1,30388,30388,A5D8T8:F8W692:H3BNR9,NP_001129686.1:NP_001258126.1:NP_872425.2:XP_005255991.1,Mouse:Clec18a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC18B,"C-type lectin domain family 18, member B",MRCL2,33849,33849,Q6UXF7,NP_001011880.2,Mouse:Clec18a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC18C,"C-type lectin domain family 18, member C",MGC34761|MRCL|MRCL3,28538,28538,F5H550:H3BSF2:H3BUD1:Q8NCF0,NP_775890.2,Mouse:Clec18a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC19A,"C-type lectin domain family 19, member A",UNQ5810/PRO19627,34522,34522,H3BQW0:H3BQX8:Q6UXS0,NP_001243649.1,,
Matrisome-associated,ECM-affiliated Proteins,CLEC1A,"C-type lectin domain family 1, member A",CLEC1|MGC34328,24355,24355,E7ESV9:E9PFB4:F5H038:F8WCT4:Q8NC01,NP_057595.2:XP_005253440.1,Mouse:Clec1a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC1B,"C-type lectin domain family 1, member B",1810061I13Rik|CLEC2|CLEC2B|PRO1384|QDED721,24356,24356,H7BYT7:Q9P126,NP_001092901.1:NP_057593.3:XP_005253439.1,Mouse:Clec1b|,
Matrisome-associated,ECM-affiliated Proteins,CLEC2A,"C-type lectin domain family 2, member A",PILAR|UNQ5792,24191,24191,Q6UVW9,NP_001124183.1:XP_005253423.1,Mouse:Clec2d|Mouse:Clec2e|Mouse:Clec2g|Mouse:Clec2h|Mouse:Clec2i|Mouse:Clec2j|,
Matrisome-associated,ECM-affiliated Proteins,CLEC2B,"C-type lectin domain family 2, member B",AICL|CLECSF2|HP10085|IFNRG1,2053,2053,F5H631:Q92478,NP_005118.2,Mouse:Clec2d|Mouse:Clec2e|Mouse:Clec2g|Mouse:Clec2h|Mouse:Clec2i|Mouse:Clec2j|,
Matrisome-associated,ECM-affiliated Proteins,CLEC2D,"C-type lectin domain family 2, member D",CLAX|LLT1|OCIL,14351,14351,F5H0P0:F5H5U4:F8WF99:H0YGG6:H0YH49:Q9UHP7,NP_001004419.1:NP_001184246.1:NP_001184247.1:NP_001184248.1:NP_037401.1,Mouse:Clec2d|Mouse:Clec2e|Mouse:Clec2g|Mouse:Clec2h|Mouse:Clec2i|Mouse:Clec2j|,
Matrisome-associated,ECM-affiliated Proteins,CLEC2L,"C-type lectin domain family 2, member L",FLJ32986,21969,21969,H0YB20:P0C7M8,NP_001073980.2,Mouse:Clec2l|,
Matrisome-associated,ECM-affiliated Proteins,CLEC3A,"C-type lectin domain family 3, member A",CLECSF1|MGC129558|MGC129559,2052,2052,H3BTK1:J3KNC9:O75596,NP_005743.4,Mouse:Clec3a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC3B,"C-type lectin domain family 3, member B",DKFZp686H17246|TN|TNA,11891,11891,E9PHK0:P05452,NP_003269.2:XP_005265483.1,Mouse:Clec3b|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4A,"C-type lectin domain family 4, member A",CLECSF6|DCIR|DDB27|HDCGC13P|LLIR,13257,13257,H0YGF9:Q9UMR7,NP_057268.1:NP_919429.2:NP_919430.1:NP_919432.1,Mouse:Clec4a1|Mouse:Clec4a2|Mouse:Clec4a3|Mouse:Clec4a4|Mouse:Clec4b1|Mouse:Clec4b2|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4C,"C-type lectin domain family 4, member C",BDCA2|CD303|CLECSF11|CLECSF7|DLEC|HECL|MGC125789|M,13258,13258,H0YFH6:H0YGB2:Q8WTT0,NP_569708.1:NP_987099.1,Mouse:Clec4a1|Mouse:Clec4a2|Mouse:Clec4a3|Mouse:Clec4a4|Mouse:Clec4b1|Mouse:Clec4b2|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4D,"C-type lectin domain family 4, member D",CLEC-6|CLEC6|CLECSF8|MCL|MGC40078|MPCL,14554,14554,A6NHA5:Q8WXI8,NP_525126.2,Mouse:Clec4d|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4E,"C-type lectin domain family 4, member E",CLECSF9|MINCLE,14555,14555,F5H5X7:F8WFA1:H0YGH9:Q9ULY5,NP_055173.1,Mouse:Clec4e|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4F,"C-type lectin domain family 4, member F",CLECSF13|FLJ39110|KCLR,25357,25357,A4QPA5:Q8N1N0,NP_775806.2:XP_005264229.1,Mouse:Clec4f|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4G,"C-type lectin domain family 4, member G",LP2698|LSECtin|UNQ431,24591,24591,M0R277:Q6UXB4,NP_940894.1,Mouse:Clec4g|,
Matrisome-associated,ECM-affiliated Proteins,CLEC4M,"C-type lectin domain family 4, member M",CD209L|CD299|DC-SIGN2|DC-SIGNR|DCSIGNR|HP10347|L-S,13523,13523,E7ENS9:H7BXE2:H7BXU4:M0QYX2:M0QZ42:Q9H2X3,NP_001138376.1:NP_001138377.1:NP_001138378.1:NP_001138379.1:NP_001138380.1:NP_001138381.1:NP_001138382.1:NP_001138383.1:NP_055072.3:XP_006722678.1,Mouse:Cd209d|,
Matrisome-associated,ECM-affiliated Proteins,CLEC5A,"C-type lectin domain family 5, member A",CLECSF5|MDL-1|MDL1|MGC138304,2054,2054,C9JCE4:C9JPR7:F8WCL0:Q14DL9:Q9NY25,NP_037384.1:XP_005250022.1,Mouse:Clec5a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC6A,"C-type lectin domain family 6, member A",CLECSF10|dectin-2,14556,14556,Q6EIG7,NP_001007034.1,Mouse:Clec4n|,
Matrisome-associated,ECM-affiliated Proteins,CLEC7A,"C-type lectin domain family 7, member A",BGR|CANDF4|CLECSF12|DECTIN1,14558,14558,Q68D78:Q9BXN2,NP_072092.2:NP_922938.1:NP_922939.1:NP_922940.1:NP_922941.1:NP_072092.2:NP_922938.1:NP_922939.1:NP_922940.1:NP_922941.1:NP_922945.1:XP_005253524.1:XP_005253525.1:XP_006719198.1:XP_006719199.1,Mouse:Clec7a|,
Matrisome-associated,ECM-affiliated Proteins,CLEC9A,"C-type lectin domain family 9, member A",DNGR1|UNQ9341,26705,26705,Q6UXN8,NP_997228.1,Mouse:Clec9a|,
Matrisome-associated,ECM-affiliated Proteins,COLEC10,collectin sub-family member 10 (C-type lectin),CLL1|MGC118794|MGC118795,2220,2220,Q9Y6Z7,NP_006429.2,Mouse:Colec10|,
Matrisome-associated,ECM-affiliated Proteins,COLEC11,collectin sub-family member 11,CL-K1-I|CL-K1-II|CL-K1-IIa|CL-K1-IIb|CLK1|DKFZp686,17213,17213,C9JWT5:F8WB29:Q9BWP8,NP_001242911.1:NP_001242912.1:NP_001242913.1:NP_001242914.1:NP_001242915.1:NP_001242916.1:NP_001242917.1:NP_001242918.1:NP_076932.1:NP_954705.1,Mouse:Colec11|,
Matrisome-associated,ECM-affiliated Proteins,COLEC12,collectin sub-family member 12,CLP1|NSR2|SCARA4|SRCL,16016,16016,Q5KU26,NP_569057.1,Mouse:Colec12|,
Matrisome-associated,ECM-affiliated Proteins,CSPG4,chondroitin sulfate proteoglycan 4,HMW-MAA|MCSP|MCSPG|MEL-CSPG|MSK16|NG2,2466,2466,Q6UVK1,NP_001888.2,Mouse:Cspg4|,
Matrisome-associated,ECM-affiliated Proteins,CSPG5,chondroitin sulfate proteoglycan 5 (neuroglycan C),MGC44034|NGC,2467,2467,O95196,NP_001193872.1:NP_001193873.1:NP_006565.2,Mouse:Cspg5|,
Matrisome-associated,ECM-affiliated Proteins,ELFN1,extracellular leucine-rich repeat and fibronectin type III domain containing 1,-,33154,33154,P0C7U0,NP_001122108.1:XP_006715788.1:XP_006715789.1:XP_006715790.1:XP_006715791.1:XP_006715792.1,Mouse:Elfn1|,
Matrisome-associated,ECM-affiliated Proteins,ELFN2,extracellular leucine-rich repeat and fibronectin type III domain containing 2,KIAA1904|LRRC62|dJ63G5.3,29396,29396,Q5R3F8,NP_443138.2:XP_005261381.1:XP_006724186.1:XP_006724187.1,Mouse:Elfn2|,
Matrisome-associated,ECM-affiliated Proteins,EMCN,endomucin,EMCN2|MUC14,16041,16041,D6RHW5:H0YAA7:Q9ULC0,NP_001153166.1:NP_057326.2,Mouse:Emcn|,
Matrisome-associated,ECM-affiliated Proteins,FCN1,ficolin (collagen/fibrinogen domain containing) 1,FCNM,3623,3623,O00602,NP_001994.2,Mouse:Fcna|,
Matrisome-associated,ECM-affiliated Proteins,FCN2,ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin),EBP-37|FCNL|P35|ficolin-2,3624,3624,Q15485,NP_004099.2:NP_056652.1,Mouse:Fcnb|,
Matrisome-associated,ECM-affiliated Proteins,FCN3,ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen),FCNH|HAKA1|MGC22543,3625,3625,O75636:Q5SSB9,NP_003656.2:NP_775628.1,,
Matrisome-associated,ECM-affiliated Proteins,FREM1,FRAS1 related extracellular matrix 1,BNAR|C9orf143|C9orf145|C9orf154|FLJ25461|QBRICK|RP,23399,23399,C9JT55:F8WE85:Q5H8C1,NP_001171175.1:NP_659403.4:XP_005251439.1:XP_005251441.1:XP_006716786.1:XP_006716792.1,Mouse:Frem1|,
Matrisome-associated,ECM-affiliated Proteins,FREM2,FRAS1 related extracellular matrix protein 2,DKFZp686J0811|DKFZp781I048|KIAA1074,25396,25396,Q5SZK8,NP_997244.4,Mouse:Frem2|,
Matrisome-associated,ECM-affiliated Proteins,FREM3,FRAS1 related extracellular matrix 3,-,25172,25172,P0C091,NP_001161707.1,Mouse:Frem3|,
Matrisome-associated,ECM-affiliated Proteins,GPC1,glypican 1,FLJ38078|glypican,4449,4449,C9J4Y6:H7BZE9:H7BZL4:H7C024:H7C410:P35052,NP_002072.2,Mouse:Gpc1|,Glypican
Matrisome-associated,ECM-affiliated Proteins,GPC2,glypican 2,DKFZp547M109|FLJ38962,4450,4450,Q8N158,NP_689955.1,Mouse:Gpc2|,Glypican
Matrisome-associated,ECM-affiliated Proteins,GPC3,glypican 3,DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1,4451,4451,H0Y3U6:P51654,NP_001158089.1:NP_001158091.1:NP_004475.1,Mouse:Gpc3|,Glypican
Matrisome-associated,ECM-affiliated Proteins,GPC4,glypican 4,K-glypican,4452,4452,B4E2C0:O75487,NP_001439.2,Mouse:Gpc4|,Glypican
Matrisome-associated,ECM-affiliated Proteins,GPC5,glypican 5,-,4453,4453,P78333,NP_004457.1,Mouse:Gpc5|,Glypican
Matrisome-associated,ECM-affiliated Proteins,GPC6,glypican 6,MGC126288|OMIMD1,4454,4454,Q9Y625,NP_005699.1,Mouse:Gpc6|,
Matrisome-associated,ECM-affiliated Proteins,GREM1,"gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)",CKTSF1B1|DAND2|DRM|GREMLIN|IHG-2|MGC126660|PIG2,2001,2001,H0YLY2:O60565,NP_001178252.1:NP_037504.1,Mouse:Grem1|,
Matrisome-associated,ECM-affiliated Proteins,GRIFIN,galectin-related inter-fiber protein,-,4577,4577,A4D1Z8,NP_001278713.1,Mouse:Grifin|,
Matrisome-associated,ECM-affiliated Proteins,HPX,hemopexin,FLJ56652|HX,5171,5171,P02790,NP_000604.1:XP_005252940.1,Mouse:Hpx|,
Matrisome-associated,ECM-affiliated Proteins,LGALSL,galectin-related protein,GRP|MGC33751|MGC71953,25012,25012,B9A055:F8WF17:Q3ZCW2:U3KQ88:U3KQU5,NP_054900.2,Mouse:Lgalsl|,
Matrisome-associated,ECM-affiliated Proteins,ITLN1,intelectin 1 (galactofuranose binding),FLJ20022|HL-1|HL1|INTL|ITLN|LFR|hIntL|omentin,18259,18259,Q8WWA0,NP_060095.2,Mouse:Itln1|,
Matrisome-associated,ECM-affiliated Proteins,ITLN2,intelectin 2,HL-2|HL2,20599,20599,Q8WWU7,NP_543154.1,Mouse:Itlnb|,
Matrisome-associated,ECM-affiliated Proteins,LGALS1,"lectin, galactoside-binding, soluble, 1",DKFZp686E23103|GAL1|GBP,6561,6561,F8WCQ5:F8WEI7:P09382,NP_002296.1,Mouse:Lgals1|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS12,"lectin, galactoside-binding, soluble, 12",GALECTIN-12|GRIP1,15788,15788,G5E970:Q96DT0,NP_001136007.1:NP_001136007.1:NP_001136008.1:NP_001136009.1:NP_001136010.1:NP_149092.2,Mouse:Lgals12|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS13,"lectin, galactoside-binding, soluble, 13",GAL13|PLAC8|PP13,15449,15449,M0R015:Q9UHV8,NP_037400.1,,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS14,"lectin, galactoside-binding, soluble, 14",CLC2|MGC22235|PPL13,30054,30054,M0R163:Q8TCE9,NP_064514.1:NP_982297.1,,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS16,beta-galactoside-binding lectin,-,40039,40039,A8MUM7:M0R108,NP_001177370.2,,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS2,"lectin, galactoside-binding, soluble, 2",HL14|MGC75071,6562,6562,B0QYC9:P05162,NP_006489.1,Mouse:Lgals2|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS3,"lectin, galactoside-binding, soluble, 3",CBP35|GAL3|GALBP|GALIG|LGALS2|MAC2,6563,6563,G3V3R6:G3V407:P17931,NP_002297.2,Mouse:Lgals3|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS4,"lectin, galactoside-binding, soluble, 4",GAL4|L36LBP,6565,6565,M0QZ93:M0R1B2:M0R349:P56470,NP_006140.1,Mouse:Lgals4|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS7,"lectin, galactoside-binding, soluble, 7",GAL7|LGALS7A,6568,6568,M0R281:P47929,NP_001035972.1:NP_002298.1,Mouse:Lgals7|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS8,"lectin, galactoside-binding, soluble, 8",Gal-8|PCTA-1|PCTA1|Po66-CBP,6569,6569,B1ANM0:E9PJ77:E9PN19:E9PNC2:E9PPL1:E9PPM4:E9PRN3:F6V2D4:H7BXD8:O00214:Q5T3P9,NP_006490.3:NP_963837.1:NP_963838.1:NP_963839.1,Mouse:Lgals8|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS9,"lectin, galactoside-binding, soluble, 9",HUAT|LGALS9A|MGC117375|MGC125973|MGC125974,6570,6570,B4DWP7:F8W9W4:J3KS82:J3KSA0:J3QKK6:J3QS92:K7EPS0:O00182:Q8WYQ7,NP_002299.2:NP_033665.1:XP_006721955.1:XP_006721957.1,Mouse:Lgals9|,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS9B,"lectin, galactoside-binding, soluble, 9B",FLJ58146|FLJ75081,24842,24842,J3QRN8:J3QSC5:Q3B8N2,NP_001036150.1,,Galectin
Matrisome-associated,ECM-affiliated Proteins,LGALS9C,"lectin, galactoside-binding, soluble, 9C",MGC125972,33874,33874,C9JHN9:J3KRF0:J3KSV0:J3KSY2:J3KT17:J3QKS2:J3QR96:J3QSH0:Q6DKI2,NP_001035167.2:XP_005256827.1,,Galectin
Matrisome-associated,ECM-affiliated Proteins,LMAN1,"lectin, mannose-binding, 1",ERGIC-53|ERGIC53|F5F8D|FMFD1|MCFD1|MR60|gp58,6631,6631,P49257,NP_005561.1,Mouse:Lman1|,
Matrisome-associated,ECM-affiliated Proteins,LMAN1L,"lectin, mannose-binding, 1 like","UNQ2784/PRO7174, ERGIC-53L, ERGL",6632,6632,H3BN74:H3BSC9:Q9HAT1,NP_068591.2,Mouse:Lman1l|,
Matrisome-associated,ECM-affiliated Proteins,MBL2,"mannose-binding lectin (protein C) 2, soluble (opsonic defect)",COLEC1|HSMBPC|MBL|MBP|MBP1|MGC116832|MGC116833,6922,6922,P11226,NP_000233.1:XP_006717924.1,Mouse:Mbl2|,
Matrisome-associated,ECM-affiliated Proteins,MUC1,"mucin 1, cell surface associated",CD227|EMA|H23AG|KL-6|MAM6|PEM|PEMT|PUM,7508,7508,B1AVQ5:B1AVQ7:P15941,NP_001018016.1:NP_001018017.1:NP_001037855.1:NP_001037856.1:NP_001037857.1:NP_001037858.1:NP_001191214.1:NP_001191215.1:NP_001191216.1:NP_001191217.1:NP_001191218.1:NP_001191219.1:NP_001191220.1:NP_001191221.1:NP_001191222.1:NP_001191223.1:NP_001191224.1:NP_001191225.1:NP_001191226.1:NP_002447.4:NP_001191214.1,Mouse:Muc1|,Mucin
Matrisome-associated,ECM-affiliated Proteins,MUC12,"mucin 12, cell surface associated",MUC11,7510,7510,F5GWV9:H7BXN1:Q9UKN1,NP_001157934.1,Mouse:Muc12|,Mucin
Matrisome-associated,ECM-affiliated Proteins,MUC13,"mucin 13, cell surface associated",DRCC1|FLJ20063,7511,7511,C9IZG1:Q9H3R2,NP_149038.3,Mouse:Muc13|,Mucin
Matrisome-associated,ECM-affiliated Proteins,MUC15,"mucin 15, cell surface associated",PAS3|PASIII,14956,14956,E9PII6:F8W945:Q8N387,NP_001128563.1:NP_001128563.1:NP_001128564.1:NP_663625.2:NP_001128564.1,Mouse:Muc15|,Mucin
Matrisome-associated,ECM-affiliated Proteins,MUC16,"mucin 16, cell surface associated",CA125|FLJ14303,15582,15582,B5ME49:F8WE81:M0QZZ9:M0R2S7:M0R2Y5:Q8WXI7,NP_078966.2,Mouse:Muc16|,Mucin
Matrisome-associated,ECM-affiliated Proteins,MUC17,"mucin 17, cell surface associated",MUC3,16800,16800,E7EPM4:Q685J3,NP_001035194.1,,Mucin
